100	3	2
101	3	2
102	2	2
103	8	2
104	4	2
105	3	2
106	3	2
107	2	2
108	4	3
109	2	3
110	5	3
111	4	3
112	1	3
113	5	3
114	2	3
115	1	3
116	5	3
117	4	3
118	3	3
119	4	3
120	6	3
121	2	3
122	5	3
123	3	3
124	7	3
125	4	3
126	3	3
127	9	3
128	4	3
129	2	3
130	3	3
131	3	3
132	2	3
133	4	3
134	3	3
135	2	3
136	4	3
137	4	3
138	4	3
139	4	3
140	2	3
141	1	3
142	5	3
143	2	3
144	2	4
145	6	4
146	2	4
147	6	4
148	3	4
149	6	4
150	7	4
151	4	4
152	0	4
153	7	4
154	5	4
155	5	4
156	5	4
157	2	4
158	1	4
159	5	4
160	5	4
161	2	4
162	7	4
163	5	4
164	3	4
165	5	4
166	8	4
167	5	4
168	10	4
169	4	4
170	4	4
171	4	4
172	6	4
173	5	4
174	3	4
175	4	4
176	3	4
177	4	4
178	3	4
179	8	4
180	3	5
181	3	5
182	4	5
183	4	5
184	4	5
185	2	5
186	6	5
187	7	5
188	4	5
189	5	5
190	7	5
191	6	5
192	11	5
193	8	5
194	4	5
195	2	5
196	5	5
197	5	5
198	1	5
199	6	5
200	6	5
